LocationID,Borough,Zone,service_zone,latitude,longitude,Lat_Long,latitude_dbl,longitude_dbl
1,EWR,Newark Airport,EWR,40.691831206401325,-74.17400027276304,40.691831206401325 -74.17400027276304,40.691831206401325,-74.17400027276304
2,Queens,Jamaica Bay,Boro Zone,40.61674529165965,-73.83129854302213,40.61674529165965 -73.83129854302213,40.61674529165965,-73.83129854302213
3,Bronx,Allerton/Pelham Gardens,Boro Zone,40.86447368477527,-73.84742223236718,40.86447368477527 -73.84742223236718,40.86447368477527,-73.84742223236718
4,Manhattan,Alphabet City,Yellow Zone,40.72375214158459,-73.97696825691759,40.72375214158459 -73.97696825691759,40.72375214158459,-73.97696825691759
5,Staten Island,Arden Heights,Boro Zone,40.55265928694546,-74.18848410184935,40.55265928694546 -74.18848410184935,40.55265928694546,-74.18848410184935
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,40.600324146034424,-74.07177055895134,40.600324146034424 -74.07177055895134,40.600324146034424,-74.07177055895134
7,Queens,Astoria,Boro Zone,40.7614925621636,-73.91969431946075,40.7614925621636 -73.91969431946075,40.7614925621636,-73.91969431946075
8,Queens,Astoria Park,Boro Zone,40.778558653750515,-73.9230861575075,40.778558653750515 -73.9230861575075,40.778558653750515,-73.9230861575075
9,Queens,Auburndale,Boro Zone,40.75103502557218,-73.7879488777789,40.75103502557218 -73.7879488777789,40.75103502557218,-73.7879488777789
10,Queens,Baisley Park,Boro Zone,40.678953310115105,-73.79098635986959,40.678953310115105 -73.79098635986959,40.678953310115105,-73.79098635986959
11,Brooklyn,Bath Beach,Boro Zone,40.60427284003062,-74.00748815801177,40.60427284003062 -74.00748815801177,40.60427284003062,-74.00748815801177
12,Manhattan,Battery Park,Yellow Zone,40.70294583498452,-74.01556351255894,40.70294583498452 -74.01556351255894,40.70294583498452,-74.01556351255894
13,Manhattan,Battery Park City,Yellow Zone,40.71203815707432,-74.01607915192938,40.71203815707432 -74.01607915192938,40.71203815707432,-74.01607915192938
14,Brooklyn,Bay Ridge,Boro Zone,40.62483492360799,-74.02989237418787,40.62483492360799 -74.02989237418787,40.62483492360799,-74.02989237418787
15,Queens,Bay Terrace/Fort Totten,Boro Zone,40.783333047260825,-73.78597227877704,40.783333047260825 -73.78597227877704,40.783333047260825,-73.78597227877704
16,Queens,Bayside,Boro Zone,40.762738375442225,-73.77342181890143,40.762738375442225 -73.77342181890143,40.762738375442225,-73.77342181890143
17,Brooklyn,Bedford,Boro Zone,40.69150749488049,-73.9499050350751,40.69150749488049 -73.9499050350751,40.69150749488049,-73.9499050350751
18,Bronx,Bedford Park,Boro Zone,40.86768245607527,-73.89018328872038,40.86768245607527 -73.89018328872038,40.86768245607527,-73.89018328872038
19,Queens,Bellerose,Boro Zone,40.73548677976318,-73.72665537528698,40.73548677976318 -73.72665537528698,40.73548677976318,-73.72665537528698
20,Bronx,Belmont,Boro Zone,40.85777967544136,-73.88586748106964,40.85777967544136 -73.88586748106964,40.85777967544136,-73.88586748106964
21,Brooklyn,Bensonhurst East,Boro Zone,40.60142943983495,-73.98353709672229,40.60142943983495 -73.98353709672229,40.60142943983495,-73.98353709672229
22,Brooklyn,Bensonhurst West,Boro Zone,40.61221825780545,-73.99525857986232,40.61221825780545 -73.99525857986232,40.61221825780545,-73.99525857986232
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,40.60644770102735,-74.17088688155253,40.60644770102735 -74.17088688155253,40.60644770102735,-74.17088688155253
24,Manhattan,Bloomingdale,Yellow Zone,40.801970493899425,-73.96547951516966,40.801970493899425 -73.96547951516966,40.801970493899425,-73.96547951516966
25,Brooklyn,Boerum Hill,Boro Zone,40.68563374132041,-73.98611382213656,40.68563374132041 -73.98611382213656,40.68563374132041,-73.98611382213656
26,Brooklyn,Borough Park,Boro Zone,40.63094965524526,-73.98866123078287,40.63094965524526 -73.98866123078287,40.63094965524526,-73.98866123078287
